"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1450946_at",5.15456842105263,8.733,17.3266876080802,4.33889415396947e-20,1.29945541017232e-15,33.2073460655243
"1418108_at",-1.0069,8.26064102564102,-11.6742560920077,2.13293899238948e-14,3.19396949415363e-10,21.9599436866743
"1422679_s_at",2.08952105263158,9.49512820512821,11.4049255953651,4.37166078565931e-14,3.45118429601509e-10,21.3144811133842
"1428733_at",-1.02289210526316,9.05828205128205,-11.3851879680355,4.6094150669673e-14,3.45118429601509e-10,21.2667512976596
"1453299_a_at",-1.39056578947368,8.57520512820513,-10.7413281246003,2.66625816536203e-13,1.59703531588855e-09,19.6775426922099
"1426288_at",3.91908684210526,9.32405128205128,10.6407456316606,3.52444481690253e-13,1.7592266303569e-09,19.4236170797806
"1433050_at",1.38896578947368,8.46897435897436,10.5853072032645,4.11273735828756e-13,1.75960530204792e-09,19.2830049591902
"1456532_at",1.27960263157895,6.37115384615385,10.1546041701931,1.38318574675817e-12,4.82096556071858e-09,18.1747480612295
"1423631_at",3.15512631578947,8.44948717948718,10.1110242812173,1.56589004009655e-12,4.82096556071858e-09,18.0610513323466
"1431708_a_at",1.97671315789474,8.5914358974359,10.0817360204016,1.70228514516873e-12,4.82096556071858e-09,17.9844798662469
"1449526_a_at",-1.37597631578947,7.37289743589744,-10.0642917434211,1.78919831600846e-12,4.82096556071858e-09,17.9388121286388
"1424694_at",-1.16502105263158,9.63097435897436,-10.0374784982289,1.9316700633952e-12,4.82096556071858e-09,17.8685280295833
"1442070_at",0.863273684210526,8.26823076923077,9.64859028965214,5.92995480900158e-12,1.36612474288299e-08,16.837070017997
"1424336_at",0.803671052631579,7.27871794871795,9.02047180530768,3.77919394992529e-11,8.08450568616519e-08,15.124144321812
"1457936_at",-0.926084210526316,8.55576923076923,-8.51959927038723,1.71302915873037e-10,3.42023401832106e-07,13.7182803174884
"1429215_at",1.54999473684211,7.85397435897436,8.45013805847667,2.11734127721068e-10,3.87920474635445e-07,13.5206433660001
"1456857_at",-1.10018157894737,8.8774358974359,-8.43731210118956,2.20195935383571e-10,3.87920474635445e-07,13.4840807888232
"1454696_at",1.87407894736842,11.9354871794872,8.37385610116584,2.6737767987714e-10,4.44871896368915e-07,13.3028745497941
"1416530_a_at",-2.07912894736842,7.44635897435897,-8.30302093479193,3.32257774587596e-10,5.23725689006522e-07,13.0999845201685
"1457802_at",0.802928947368422,7.77817948717949,8.2660031420265,3.72286021708958e-10,5.57479703208079e-07,12.9937021721252
"1422907_at",-2.67780789473684,10.4839230769231,-8.09853823019324,6.23972321861401e-10,8.89873669877481e-07,12.5107542791061
"1441674_at",0.980534210526316,7.98215384615385,7.9632902447034,9.48938144880882e-10,1.29180675004716e-06,12.1182262263576
"1439070_x_at",1.38914473684211,9.75848717948718,7.89078703816351,1.18898143461656e-09,1.54820891240572e-06,11.9069136386143
"1451146_at",1.71781842105263,8.0055641025641,7.76990131561827,1.73367367898711e-09,2.16340804216604e-06,11.5532528218524
"1451450_at",-1.46264736842105,8.4518717948718,-7.6757846152253,2.32760576847024e-09,2.78837860639661e-06,11.2767842198026
"1450028_a_at",1.65160789473684,9.41482051282051,7.46830759636743,4.46878302174472e-09,5.01956853573721e-06,10.664012702377
"1459011_at",0.90033947368421,8.46992307692308,7.46432140736565,4.52530470015375e-09,5.01956853573721e-06,10.6521969073323
"1446014_at",0.739921052631579,7.37802564102564,7.33724879209786,6.76017033194996e-09,6.98271060542184e-06,10.2747246850542
"1435670_at",2.42804736842105,7.96720512820513,7.33718905574581,6.76144804692088e-09,6.98271060542184e-06,10.2745468768507
"1446167_at",1.02839736842105,8.0154358974359,7.29741239512547,7.66865776030952e-09,7.65562104211699e-06,10.1560766076727
"1436944_x_at",2.11433157894737,8.82664102564103,7.24290565410236,9.11454150600626e-09,8.72361830790214e-06,9.99350131222971
"1428808_at",-2.01139210526316,8.71635897435897,-7.23200762241536,9.43507109530639e-09,8.72361830790214e-06,9.96096440984911
"1424508_at",-0.97685,7.29505128205128,-7.22614018721815,9.61232108453606e-09,8.72361830790214e-06,9.94344241335903
"1458506_at",1.62145263157895,10.2314615384615,7.21574024413263,9.93477842789702e-09,8.75107879814965e-06,9.91237753482806
"1420009_at",-1.09777894736842,8.27561538461539,-7.14236886179026,1.25416223345227e-08,1.07316870656177e-05,9.6929513773114
"1430047_at",0.780407894736842,8.21705128205128,7.1110735224513,1.38537749835097e-08,1.13083110063425e-05,9.59922128385038
"1431659_at",1.55457631578947,8.46169230769231,7.10843194321173,1.39706670417934e-08,1.13083110063425e-05,9.5913060268948
"1434146_at",1.56549473684211,7.87892307692308,7.04254039514188,1.72308019090508e-08,1.34712740306046e-05,9.39368647211969
"1454578_at",1.47576842105263,8.3104358974359,7.03691281205539,1.75424784531563e-08,1.34712740306046e-05,9.37679252881474
"1458585_at",-0.885655263157895,6.34692307692308,-7.01766350044365,1.8652120914911e-08,1.35942978637438e-05,9.31898778424251
"1440557_at",1.50578947368421,7.85841025641026,7.01481075465442,1.88224763923726e-08,1.35942978637438e-05,9.31041870528203
"1435353_a_at",1.42283947368421,8.4708717948718,7.01080344261709,1.90644265343498e-08,1.35942978637438e-05,9.29838049025033
"1422616_s_at",0.455405263157895,7.1354358974359,6.97830905759696,2.11455806535791e-08,1.45900564918347e-05,9.20072048740716
"1445880_at",1.82953947368421,8.0254358974359,6.9740442948335,2.14351893432411e-08,1.45900564918347e-05,9.18789712127205
"1458828_at",0.902863157894737,7.16574358974359,6.92048982128429,2.54305008523709e-08,1.68104508403088e-05,9.02675533130217
"1417378_at",0.832552631578947,10.8058974358974,6.91573068534999,2.58199184832283e-08,1.68104508403088e-05,9.01242543262897
"1434779_at",1.85658947368421,6.81930769230769,6.90889690595758,2.63896094847398e-08,1.68157960523079e-05,8.99184592247268
"1455140_at",1.81374210526316,9.17328205128205,6.87942443714985,2.8995030018132e-08,1.80910865419382e-05,8.90305400941459
"1428778_at",1.77461578947368,8.36274358974359,6.84489100558052,3.23790253418489e-08,1.97901924482251e-05,8.79893926453363
"1439069_a_at",0.55786842105263,10.1787179487179,6.80437649143887,3.68590626484139e-08,2.2077841345147e-05,8.67669134105244
"1456840_at",0.654926315789473,8.57833333333333,6.79210254783173,3.83356009144203e-08,2.23070610992937e-05,8.63963521106445
"1450830_a_at",-2.12427894736842,10.6322051282051,-6.78889301572159,3.87314159792738e-08,2.23070610992937e-05,8.62994377295527
"1457424_at",-1.40592105263158,8.2434358974359,-6.7786381453879,4.00238407347435e-08,2.26164906823554e-05,8.59897403675877
"1429146_at",-1.27043947368421,10.6262820512821,-6.75253361513881,4.35128703136938e-08,2.41327213523114e-05,8.52010886383952
"1443821_at",1.16842631578947,7.83666666666667,6.73665450503665,4.5783129716855e-08,2.4930162761638e-05,8.47211571721592
"1457886_at",0.687484210526316,7.9798717948718,6.71151547108072,4.96232245705379e-08,2.65386777261257e-05,8.39610465629855
"1456122_at",0.824892105263158,7.59617948717949,6.69551192011129,5.22348109667031e-08,2.74452693621367e-05,8.34769672556871
"1446156_at",1.18643947368421,11.022641025641,6.64864560302818,6.07047637648664e-08,3.13456374136894e-05,8.20585144639614
"1443075_at",0.72445,7.59651282051282,6.63056080705692,6.43306738459216e-08,3.26549042544323e-05,8.15108413542264
"1423420_at",-1.10859473684211,7.32438461538462,-6.60414233469957,7.00220741381853e-08,3.49515183060752e-05,8.07104862944528
"1457737_at",-1.39134210526316,9.72033333333333,-6.5886742323806,7.35863736011465e-08,3.6128496770176e-05,8.02417104688639
"1433757_a_at",0.392281578947368,8.75753846153846,6.56520406237571,7.93456098049448e-08,3.83277688394886e-05,7.95301979699352
"1455444_at",1.82454210526316,7.09982051282051,6.55593986758827,8.17415842376545e-08,3.8858392164024e-05,7.92492748899928
"1440690_at",1.13056842105263,7.57341025641026,6.54514956771388,8.46239742184986e-08,3.96000531854659e-05,7.89220236709219
"1434441_at",0.555331578947368,6.64315384615385,6.53270616624112,8.80748647004362e-08,4.05808326602056e-05,7.85445693730193
"1457524_at",0.559584210526315,8.27428205128205,6.50408497143101,9.65580010579806e-08,4.38153874800827e-05,7.76761163541664
"1439204_at",1.50109736842105,8.11784615384615,6.49478324335032,9.94878745681832e-08,4.44710799319779e-05,7.73937961290697
"1436205_at",1.30634473684211,8.68302564102564,6.48233199907579,1.03549912978295e-07,4.56061227027494e-05,7.70158256362584
"1456655_at",1.30243684210526,6.74817948717949,6.4702920149151,1.07635993172122e-07,4.6718700862491e-05,7.66502773112715
"1439174_at",0.94183947368421,6.30520512820513,6.45596930920148,1.12708009280162e-07,4.78754979266232e-05,7.62153451621247
"1454926_at",-1.26476578947369,12.2877179487179,-6.45379605130539,1.13498292189731e-07,4.78754979266232e-05,7.61493434197544
"1455899_x_at",-2.47498421052632,8.85246153846154,-6.42043271720419,1.26352349734909e-07,5.25573128084832e-05,7.5135868172562
"1452928_at",-0.457365789473684,7.26476923076923,-6.3926196408721,1.38177552135743e-07,5.66887603960736e-05,7.42906727939304
"1442267_at",0.405407894736842,7.12774358974359,6.3496847564286,1.58648280132229e-07,6.4094734375675e-05,7.29854188939707
"1437442_at",1.66082631578947,7.83017948717949,6.34587573997628,1.60605047434656e-07,6.4094734375675e-05,7.28695924366046
"1454231_a_at",1.08523684210526,11.0267948717949,6.34194478199774,1.62649831799102e-07,6.4094734375675e-05,7.27500530992312
"1444670_at",1.10794736842105,8.65223076923077,6.32499029874298,1.71772404309538e-07,6.6810542034628e-05,7.22344170180009
"1416561_at",2.05501842105263,7.41248717948718,6.30967750390603,1.80451691817257e-07,6.90946682007553e-05,7.1768635210225
"1436646_at",2.20386578947368,6.1848717948718,6.30658165590416,1.8225913345553e-07,6.90946682007553e-05,7.1674457962326
"1456212_x_at",-2.05682368421053,8.25469230769231,-6.30241711254362,1.84719162712354e-07,6.91519275509038e-05,7.15477661499693
"1436307_at",1.08340526315789,8.26348717948718,6.27533640293176,2.01548183532199e-07,7.4520574674146e-05,7.07238124427872
"1448545_at",-0.645834210526316,7.60948717948718,-6.26804802743515,2.06334275450022e-07,7.53598197006428e-05,7.05020240962577
"1434975_x_at",1.89763157894737,8.85451282051282,6.26009213794402,2.11688804804166e-07,7.63839519889154e-05,7.02599075899131
"1417298_at",0.999697368421052,8.97471794871795,6.25232863529333,2.170480405675e-07,7.73853781780482e-05,7.00236307295426
"1421139_a_at",0.859563157894737,6.34053846153846,6.24519375355365,2.22093120540319e-07,7.82525513772003e-05,6.98064726593079
"1460449_at",1.22801842105263,6.32338461538462,6.23156654057714,2.32057713688449e-07,8.01971940260596e-05,6.93916801540223
"1439843_at",0.989910526315789,6.8744358974359,6.23035114468545,2.32967908119376e-07,8.01971940260596e-05,6.93546832181137
"1453199_at",-1.26970789473684,8.23902564102564,-6.22476721783569,2.37195813032943e-07,8.07247432332229e-05,6.91847029557213
"1439263_at",-0.953926315789474,8.72333333333333,-6.21313652190304,2.46250447654509e-07,8.28646590652234e-05,6.88306313146012
"1452601_a_at",-1.09600789473684,8.09010256410256,-6.19312151200293,2.62650326238845e-07,8.7401273561413e-05,6.82212516990223
"1419740_at",3.21184210526316,8.97925641025641,6.18714785144182,2.67753762126788e-07,8.77569386881764e-05,6.80393616158039
