nodeName	altName	nodeAttr[nodesPresent, ]
1416041_at	NA	turquoise
1416306_at	NA	turquoise
1416309_at	NA	turquoise
1417155_at	NA	turquoise
1417366_s_at	NA	grey
1417432_a_at	NA	turquoise
1417457_at	NA	turquoise
1418715_at	NA	turquoise
1419025_at	NA	turquoise
1419186_a_at	NA	turquoise
1419740_at	NA	turquoise
1420484_a_at	NA	turquoise
1421061_at	NA	turquoise
1421084_at	NA	turquoise
1421346_a_at	NA	turquoise
1422612_at	NA	turquoise
1422643_at	NA	grey
1422907_at	NA	grey
1423631_at	NA	turquoise
1423851_a_at	NA	turquoise
1424256_at	NA	turquoise
1424963_at	NA	turquoise
1425100_a_at	NA	turquoise
1425138_at	NA	turquoise
1425171_at	NA	turquoise
1425172_at	NA	turquoise
1425232_x_at	NA	turquoise
1426288_at	NA	grey
1428105_at	NA	turquoise
1428288_at	NA	turquoise
1429028_at	NA	turquoise
1429372_at	NA	turquoise
1429486_at	NA	turquoise
1431225_at	NA	turquoise
1431367_at	NA	turquoise
1433575_at	NA	turquoise
1434437_x_at	NA	turquoise
1434603_at	NA	turquoise
1435392_at	NA	turquoise
1435783_at	NA	turquoise
1436277_at	NA	turquoise
1437086_at	NA	turquoise
1437502_x_at	NA	turquoise
1437781_at	NA	turquoise
1438559_x_at	NA	turquoise
1440256_at	NA	turquoise
1440396_at	NA	turquoise
1440838_at	NA	turquoise
1441144_at	NA	turquoise
1441330_at	NA	turquoise
1442160_at	NA	turquoise
1444095_a_at	NA	turquoise
1445574_at	NA	turquoise
1445710_x_at	NA	turquoise
1448182_a_at	NA	turquoise
1448659_at	NA	turquoise
1448698_at	NA	turquoise
1448721_at	NA	turquoise
1449132_at	NA	grey
1449421_a_at	NA	turquoise
1450080_at	NA	grey
1450144_at	NA	turquoise
1450215_at	NA	turquoise
1450329_a_at	NA	turquoise
1450453_a_at	NA	turquoise
1450723_at	NA	grey
1450779_at	NA	turquoise
1450852_s_at	NA	turquoise
1450946_at	NA	grey
1450966_at	NA	turquoise
1451590_at	NA	turquoise
1451617_at	NA	turquoise
1451618_at	NA	turquoise
1451647_at	NA	turquoise
1451763_at	NA	turquoise
1452242_at	NA	turquoise
1452318_a_at	NA	turquoise
1452540_a_at	NA	turquoise
1452806_at	NA	turquoise
1453002_at	NA	turquoise
1453125_at	NA	turquoise
1454694_a_at	NA	turquoise
1454799_at	NA	grey
1455098_a_at	NA	turquoise
1455570_x_at	NA	turquoise
1455899_x_at	NA	turquoise
1456199_x_at	NA	grey
1456212_x_at	NA	turquoise
1456936_at	NA	turquoise
1457139_at	NA	turquoise
1457732_at	NA	turquoise
1458418_at	NA	turquoise
1459749_s_at	NA	grey
1460044_at	NA	turquoise
1460212_at	NA	turquoise
