date,sample,OD600
2019-10-03-2230, sample_58_1, 0.94
2019-10-03-2230, sample_58_2, 1.33
2019-10-03-2230, sample_58_3, 1.6
2019-10-03-2230, sample_58_4, 0.75
2019-10-03-2230, sample_58_5, 0.25
2019-10-03-2230, sample_58_6, 0.43
2019-10-03-2230, sample_58_7, 1.79
2019-10-03-2230, sample_58_8, 0.49
2019-10-03-2230, sample_58_9, 1.15
2019-10-03-2230, sample_58_10, 1.19
2019-10-03-2230, sample_58_11, 0.73
2019-10-03-2230, sample_58_12, 0.93
2019-10-03-2230, sample_58_13, 0.65
2019-10-03-2230, sample_58_14, 1.17
2019-10-03-2230, sample_58_15, 0.4
2019-10-03-2230, sample_58_16, 1.24
2019-10-03-2230, sample_58_17, 0.6
2019-10-03-2230, sample_58_18, 0.46
2019-10-03-2230, sample_58_19, 1.0
2019-10-03-2230, sample_58_20, 0.38
2019-10-03-2230, sample_58_21, 1.49
2019-10-03-2230, sample_58_22, 0.6
2019-10-03-2230, sample_58_23, 1.62
2019-10-03-2230, sample_58_24, 0.52
2019-10-03-2230, sample_58_25, 1.8
2019-10-03-2230, sample_58_26, 1.07
2019-10-03-2230, sample_58_27, 0.81
2019-10-03-2230, sample_58_28, 0.35
2019-10-03-2230, sample_58_29, 0.57
2019-10-03-2230, sample_58_30, 0.61
2019-10-03-2230, sample_58_31, 0.17
2019-10-03-2230, sample_58_32, 1.61
