date,sample,OD600
2019-10-03-2230, sample_63_1, 0.43
2019-10-03-2230, sample_63_2, 0.83
2019-10-03-2230, sample_63_3, 0.1
2019-10-03-2230, sample_63_4, 0.22
2019-10-03-2230, sample_63_5, 0.15
2019-10-03-2230, sample_63_6, 1.16
2019-10-03-2230, sample_63_7, 1.47
2019-10-03-2230, sample_63_8, 0.75
2019-10-03-2230, sample_63_9, 1.99
2019-10-03-2230, sample_63_10, 1.7
2019-10-03-2230, sample_63_11, 1.76
2019-10-03-2230, sample_63_12, 0.62
2019-10-03-2230, sample_63_13, 0.96
2019-10-03-2230, sample_63_14, 0.45
2019-10-03-2230, sample_63_15, 0.49
2019-10-03-2230, sample_63_16, 1.44
2019-10-03-2230, sample_63_17, 1.42
2019-10-03-2230, sample_63_18, 1.7
2019-10-03-2230, sample_63_19, 1.33
2019-10-03-2230, sample_63_20, 0.41
2019-10-03-2230, sample_63_21, 1.94
2019-10-03-2230, sample_63_22, 1.78
2019-10-03-2230, sample_63_23, 1.07
2019-10-03-2230, sample_63_24, 1.7
2019-10-03-2230, sample_63_25, 0.66
2019-10-03-2230, sample_63_26, 1.35
2019-10-03-2230, sample_63_27, 1.03
2019-10-03-2230, sample_63_28, 0.11
2019-10-03-2230, sample_63_29, 0.07
2019-10-03-2230, sample_63_30, 0.97
2019-10-03-2230, sample_63_31, 0.19
2019-10-03-2230, sample_63_32, 0.1
2019-10-03-2230, sample_63_33, 0.92
2019-10-03-2230, sample_63_34, 1.0
2019-10-03-2230, sample_63_35, 1.06
2019-10-03-2230, sample_63_36, 0.36
2019-10-03-2230, sample_63_37, 1.45
2019-10-03-2230, sample_63_38, 1.99
2019-10-03-2230, sample_63_39, 0.61
